Filename,Initial Clause Count,Processed Clause Count,Unprocessed Clause Count,Factor Count,Resolvent Count,Tautologies Deleted,Resolution Result
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD072-2.p,34,1424,399241,3380,397266,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD016-5.p,35,763,670033,1972,668840,51,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD052-1.p,34,1472,438480,3294,436639,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD084-3.p,33,718,676989,2340,675385,51,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD079-4.p,34,728,661184,2194,659735,51,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD028-3.p,34,748,692352,2267,690850,51,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD010-5.p,28,673,683905,2491,682110,51,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD013-4.p,35,777,724333,2118,723008,51,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD064-3.p,29,681,686093,2471,684325,51,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD045-4.p,31,709,675010,2310,673429,51,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD037-1.p,32,1426,391385,3742,389052,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD096-2.p,47,1522,490069,2167,489392,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD025-4.p,35,763,692914,2185,691508,51,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD079-2.p,35,1440,407757,3432,405745,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD096-4.p,46,885,705473,1859,704504,51,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD071-4.p,33,728,689889,2338,688297,51,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD079-3.p,32,721,726843,2552,725031,51,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD036-3.p,34,760,733865,2428,732214,51,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD058-1.p,33,1421,388559,3720,386242,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD003-1.p,30,1460,397236,3781,394900,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD073-2.p,34,1450,411064,3539,408956,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD038-1.p,32,1467,401453,3781,399122,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD013-1.p,34,1481,435482,3325,433619,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD047-1.p,33,1445,417293,3557,415163,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD019-3.p,29,706,742769,2571,740927,52,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD072-3.p,31,714,740811,2600,738945,51,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD081-3.p,35,759,761161,2575,759361,51,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD045-3.p,29,711,777303,2755,775281,51,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD029-3.p,34,763,746141,2473,744448,51,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD016-3.p,33,761,759044,2415,757408,51,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD076-3.p,33,748,776519,2650,774635,51,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD025-1.p,34,1479,434748,3319,432889,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD096-1.p,37,1480,434011,3188,432281,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD039-1.p,30,1482,379127,3746,376851,18,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD007-1.p,29,1553,393321,3828,391035,18,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD069-1.p,33,1485,404875,3781,402561,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD056-1.p,29,1544,391266,3816,388983,18,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD032-1.p,31,1509,385027,3756,382767,18,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD099-2.p,36,1494,424090,3684,421879,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD054-4.p,37,809,784069,2388,782504,51,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD100-4.p,41,850,779159,2097,777922,51,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD070-4.p,33,746,756047,2523,754288,51,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD081-4.p,39,812,776637,2461,775000,51,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD043-1.p,29,1537,393040,3805,390761,18,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD096-3.p,36,778,773128,2596,771325,51,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD014-1.p,31,1569,423050,3867,420736,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD076-1.p,34,1544,447208,3870,444863,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD039-3.p,29,716,779596,2657,777678,52,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD078-1.p,33,1561,422976,3840,420679,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD093-3.p,30,723,815560,2854,813450,51,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD025-5.p,37,808,773230,2414,771638,51,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD085-1.p,34,1554,424586,3830,422291,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD043-5.p,28,698,779284,2784,777221,51,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD070-1.p,32,1533,412955,3815,410656,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD080-4.p,30,727,794743,2766,792725,51,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD097-1.p,32,1574,423878,3862,421573,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD074-4.p,36,797,820559,2651,818720,51,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD010-1.p,28,1552,398589,4032,396099,18,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD008-4.p,33,775,818805,2618,816980,51,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD050-4.p,38,820,777314,2435,775712,51,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD095-1.p,37,1564,472143,3646,470039,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD022-1.p,32,1542,444573,3883,442215,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD099-4.p,35,783,839661,2665,837795,51,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD067-4.p,32,749,800546,2660,798654,51,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD049-4.p,38,830,820237,2591,818489,51,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD033-3.p,31,742,819825,2818,817770,52,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD051-4.p,44,896,794418,2239,793082,51,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD067-3.p,30,723,799486,2794,797436,51,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD070-3.p,31,742,842784,2904,840642,51,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD055-1.p,33,1569,450966,3902,448615,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD001-3.p,30,724,781230,2645,779330,51,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD050-1.p,35,1556,472691,3679,470548,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD062-1.p,31,1590,427505,3873,425206,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD011-1.p,30,1602,432456,3879,430167,18,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD077-4.p,37,794,773201,2502,771507,51,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD053-2.p,48,1641,570779,2256,570131,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD037-3.p,31,732,774785,2671,772866,51,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD012-3.p,31,751,852456,2932,850295,51,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD089-1.p,31,1646,447902,3985,445550,18,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD070-2.p,34,1599,457314,3912,454982,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD086-1.p,31,1619,435926,3885,433647,18,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD073-3.p,31,728,799684,2781,797651,51,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD020-1.p,31,1626,439629,3883,437359,18,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD059-4.p,31,744,823225,2761,821228,51,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD030-3.p,31,757,863854,2919,861712,51,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD082-1.p,33,1565,423961,3844,421664,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD026-3.p,31,749,844109,2879,841999,51,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD077-2.p,38,1622,504283,3531,502351,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD021-3.p,30,749,868418,2888,866301,52,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD008-3.p,29,738,869102,2966,866896,51,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD067-2.p,33,1597,457640,3914,455305,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD072-1.p,32,1640,439109,3894,436841,18,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD038-3.p,31,746,831036,2834,828968,51,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD076-2.p,38,1604,496261,3445,494397,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD023-1.p,31,1562,421839,3862,419523,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD098-2.p,42,1633,529257,3122,527741,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD098-3.p,31,752,882134,2984,879922,51,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD021-1.p,31,1663,445673,3931,443392,18,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD057-3.p,27,713,886673,3077,884333,51,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD060-1.p,31,1630,437315,3894,435038,18,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD054-3.p,31,753,852591,2923,850441,51,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD031-1.p,31,1627,441799,3915,439498,18,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD008-2.p,34,1605,488042,3959,485669,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD082-3.p,32,771,923893,3071,921612,51,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD033-1.p,32,1676,451712,3936,449438,18,Time Out
