Filename,Initial Clause Count,Processed Clause Count,Unprocessed Clause Count,Factor Count,Resolvent Count,Tautologies Deleted,Resolution Result
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD072-2.p,34,836,187260,1156,186921,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD016-5.p,35,531,224558,949,224118,13,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD052-1.p,34,842,194253,999,194077,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD084-3.p,33,520,245680,1105,245082,20,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD079-4.p,34,513,223886,1019,223362,16,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD028-3.p,34,529,235225,1025,234711,16,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD010-5.p,28,479,244444,1156,243764,25,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD013-4.p,35,537,233805,977,233343,13,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD064-3.p,29,486,239899,1115,239265,24,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD045-4.p,31,504,235738,1076,235154,19,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD037-1.p,32,834,190600,1495,189922,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD096-2.p,47,879,202047,711,202180,12,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD025-4.p,35,529,223807,959,223355,13,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD079-2.p,35,857,195579,1236,195180,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD096-4.p,46,594,225773,857,225470,6,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD071-4.p,33,514,232176,1049,231626,18,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD079-3.p,32,499,228888,1077,228297,19,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD036-3.p,34,536,244193,1051,243662,18,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD058-1.p,33,842,190647,1463,190008,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD003-1.p,30,824,188716,1514,188011,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD073-2.p,34,850,193851,1246,193436,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD038-1.p,32,829,187871,1457,187226,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD013-1.p,34,874,204658,1145,204368,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD047-1.p,33,848,198207,1300,197737,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD019-3.p,29,491,244085,1114,243453,20,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD072-3.p,31,505,244922,1108,244309,21,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD081-3.p,35,524,227668,1021,227154,18,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD045-3.p,29,487,236044,1104,235418,20,Time Out
