Filename,Initial Clause Count,Processed Clause Count,Unprocessed Clause Count,Factor Count,Resolvent Count,Tautologies Deleted,Resolution Result
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD072-2.p,34,824,182802,1100,182507,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD016-5.p,35,523,216614,924,216190,12,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD052-1.p,34,843,194773,1005,194592,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD084-3.p,33,505,227887,1070,227307,18,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD079-4.p,34,495,204136,968,203642,13,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD028-3.p,34,520,224712,1003,224209,14,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD010-5.p,28,466,227154,1110,226502,20,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD013-4.p,35,530,224692,949,224251,13,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD064-3.p,29,464,214008,1064,213398,19,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD045-4.p,31,492,219445,1021,218902,17,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD037-1.p,32,779,168986,1183,168565,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD096-2.p,47,836,190979,685,191095,12,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD025-4.p,35,531,226545,971,226083,13,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD079-2.p,35,845,190302,1175,189952,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD096-4.p,46,587,221171,856,220862,6,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD071-4.p,33,501,215539,995,215026,14,Time Out
