Filename,Initial Clause Count,Processed Clause Count,Unprocessed Clause Count,Factor Count,Resolvent Count,Tautologies Deleted,Resolution Result
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD072-2.p,34,842,189698,1194,189327,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD016-5.p,35,524,217472,925,217048,12,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD052-1.p,34,866,204391,1120,204118,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD084-3.p,33,510,233936,1088,233345,20,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD079-4.p,34,532,249060,1096,248482,20,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD028-3.p,34,516,220116,988,219623,13,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD010-5.p,28,478,242772,1150,242096,24,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD013-4.p,35,527,220330,931,219904,13,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD064-3.p,29,484,237572,1111,236938,22,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD045-4.p,31,504,235739,1076,235154,18,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD037-1.p,32,830,188576,1463,187926,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD096-2.p,47,858,195934,693,196064,12,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD025-4.p,35,533,228837,976,228372,13,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD079-2.p,35,849,191859,1197,191491,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD096-4.p,46,587,221171,856,220862,6,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD071-4.p,33,505,220464,1011,219941,16,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD079-3.p,32,499,228888,1077,228297,19,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD036-3.p,34,528,234365,1024,233849,14,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD058-1.p,33,841,189921,1457,189287,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD003-1.p,30,830,190875,1545,190145,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD073-2.p,34,831,185763,1144,185431,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD038-1.p,32,833,190172,1489,189499,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD013-1.p,34,860,199362,1090,199113,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD047-1.p,33,840,194654,1246,194230,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD019-3.p,29,486,237230,1096,236611,20,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD072-3.p,31,500,239008,1095,238402,20,Time Out
